id,name,thc,cbd,ratings_score,ratings_count,num_likes,min_price,max_price,slug,product_link
2045,LIT 29/1 MKU Master Kush,29.0,1.0,0.0,0,1.0,,,lit-29-1-mku-master-kush,https://flowzz.com/product/lit-29-1-mku-master-kush
2044,THC AKUT TM 24 RB Rainbow Belts ,22.0,1.0,0.0,0,10.0,5.69,6.9,thc-akut-tm-24-1-rb-rainbow-belts,https://flowzz.com/product/thc-akut-tm-24-1-rb-rainbow-belts
2043,TRUU GT 28:01 Cookies OG,25.9,0.1,0.0,0,10.0,6.0,7.49,truu-gt-28-01-cookies-og,https://flowzz.com/product/truu-gt-28-01-cookies-og
2042,Greyscales FJ 26/1 Flapjacks,26.0,1.0,0.0,0,5.0,7.8,7.8,cantourage-26-1-greyscales-fj-flapjacks,https://flowzz.com/product/cantourage-26-1-greyscales-fj-flapjacks
2041,Demecan Craft Cali 31:01 Hawaiian Rain X Permanent Marker,31.0,1.0,0.0,0,20.0,9.29,11.49,demecan-craft-cali-31-01-hawaiian_rain-x-permanent-marker,https://flowzz.com/product/demecan-craft-cali-31-01-hawaiian_rain-x-permanent-marker
2037,IMC THC20 GGA Purple Grape,20.0,1.0,0.0,0,0.0,4.49,6.5,imc-20-1-gga-purple-grape,https://flowzz.com/product/imc-20-1-gga-purple-grape
2040,Cannabis 1A 20/1 White Widow,20.0,0.9,0.0,0,0.0,,,cannabis-1-a-20-1-white-widow,https://flowzz.com/product/cannabis-1-a-20-1-white-widow
2039,madrecan 27/1 SKY Minis Skywalker,27.0,0.1,0.0,0,0.0,,,madrecan-27-1-sky-minis-skywalker,https://flowzz.com/product/madrecan-27-1-sky-minis-skywalker
2038,Bubba OG,23.0,1.0,0.0,0,11.0,7.7,7.7,bubba-og,https://flowzz.com/product/bubba-og
2036,bava med 23/1 LAV-FU Lava Fuel,23.0,1.0,0.0,0,4.0,5.45,6.07,bava-med-23-1-lav-fu-lava-fuel,https://flowzz.com/product/bava-med-23-1-lav-fu-lava-fuel
2035,bava med 23/1 MIM-CO Mimosa Cookies,23.0,1.0,0.0,0,11.0,4.68,5.99,bava-med-23-1-mim-co-mimosa-cookies,https://flowzz.com/product/bava-med-23-1-mim-co-mimosa-cookies
2034,bava med 29/1 MON-BU Monkey Butter,29.0,1.0,0.0,0,15.0,5.79,6.49,bava-med-29-1-mon-bu-monkey-butter,https://flowzz.com/product/bava-med-29-1-mon-bu-monkey-butter
2033,bava med 26/1 PLA-OG Platinum OG,26.0,1.0,0.0,0,4.0,5.95,6.19,bava-med-26-1-pla-og-platinum-og,https://flowzz.com/product/bava-med-26-1-pla-og-platinum-og
